Id,Price,Year,Mileage,City,State,Vin,Make,Model,Vehicle Style,Vehicle Size,MSRP,City MPG,Engine HP,Highway MPG,Popularity,Total Depreciation,Age,Avg MPG,Avg Depreciation Per Year
51,15499,2015,37406,Killeen, TX,KL4CJBSB5FB096686,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12152.25,3.0,27.75,4050.75
52,15725,2015,17005,Englewood, NJ,KL4CJASB4FB271181,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11926.25,3.0,27.75,3975.4166666666665
53,19663,2016,3064,Wilmington, NC,KL4CJASB5GB647064,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,8258.0,2.0,28.200000000000003,4129.0
54,16445,2015,19469,Grapevine, TX,KL4CJBSBXFB166232,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11206.25,3.0,27.75,3735.4166666666665
55,15750,2015,26927,Grapevine, TX,KL4CJBSB6FB162873,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11901.25,3.0,27.75,3967.0833333333335
56,16567,2015,6156,Ocala, FL,KL4CJBSB2FB167861,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11084.25,3.0,27.75,3694.75
57,17479,2015,15572,San Diego, CA,KL4CJBSBXFB260336,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10172.25,3.0,27.75,3390.75
58,16344,2016,24241,GILBERT, AZ,KL4CJASB4GB652627,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,11577.0,2.0,28.200000000000003,5788.5
59,20500,2017,2381,Lillington, NC,KL4CJASB3HB073968,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,7515.0,1.0,28.35,7515.0
62,18991,2017,5395,Charlotte, NC,KL4CJASB6HB002375,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,9024.0,1.0,28.35,9024.0
63,16984,2015,20433,Lone Tree, CO,KL4CJESB1FB265359,Buick,EncoreAWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10667.25,3.0,27.75,3555.75
